"Title","Alternative Title","Copyright","Author(s)","Song Book","Topic"
"2 - Tum jagat ki jyoti ho","","","Shishye Thompson","",""
"I Am  A New Creation (D)","","","Dave Bilbrough © Thank You Music Ltd.","",""
"His Mercy is More","","","Matt Boswell / Matt Papa © 2016 Getty Music Hymns and Songs","",""
"I lift my hands","","","Andre Kempen © Kempen Music","",""
"Everybody ought to know","","","Harry Dixon Loes © New Spring Publishing Inc.","",""
"Cast your burdens","","","Felix Mendelssohn-Bartholdy, Hal H. Hopson © Hope Publishing Company","",""
"SITTING AT THE FEET OF JESUS (D) <with Hindi>","","","Carl Boberg","",""
"Mere Prabhu Tu Hai Kumhar","","","Unknown","",""
"Have Thine Own Way Lord","","","George C. Stebbins","",""
"As we gather in this place today","","","Claire Cloninger / Don Moen © Integrity's Hosanna! Music","",""
"Forever God is faithful","","","Chris Tomlin © Edition Triggertraxx","",""
"2 - Yishu Kaisa Dost He Pyara (What a friend we have in Jesus)","What a friend we have in Jesus","","Joseph M. Scriven (English) - Public Domain","",""
"2 - Mera Yeshu Tere Jaisa Kohi Nahi","","","Unknown - Arr. © 1974, Celebration","",""
"O Lord, my Rock and my Redeemer","","","Nathan Stiff  © Sovereign Grace Worship","",""
"1 - How deep the Father's love for us (D-E)","","","Stuard Townend © 1995 Thankyou Music","",""
"Prarthna main Tujhse karu","","","Sunny Vishwas","",""
"Mera Yeshu Hai Mujhko Bhala","","","Mathai C Samkutty (Malayalam)","",""
"There's A Way That Jesus Opened Up For All","","© Words by Stiftelsen Skjulte Skatters Forlag","Anita Brentnall, Joseph Philbrick Webster (1819-1875)","",""
"There's A Way That Jesus Opened Up For All","","© Words by Stiftelsen Skjulte Skatters Forlag","Anita Brentnall, Joseph Philbrick Webster (1819-1875)","",""
"There's A Way That Jesus Opened Up For All","","© Words by Stiftelsen Skjulte Skatters Forlag","Anita Brentnall, Joseph Philbrick Webster (1819-1875)","",""
"There's A Way That Jesus Opened Up For All","","© Words by Stiftelsen Skjulte Skatters Forlag","Anita Brentnall, Joseph Philbrick Webster (1819-1875)","",""
"Jab Saare Darwaaje Tujhe Band Dikhe","","","Wilson George","",""
"Tujhme Prabhu Bana Mai Rahu","","","Jared Abel Mitchell","",""
"Psalm 34","","","Shane Bernard","",""
"Khud Ko Main Deta Hu","","","Rijo Joseph","",""
"Kuch Bhi Nahi","","","Sunny Vishwas","",""
"Jesus Humbled Himself","","","Victor","",""
"Fragrance of Christ","","","Victor","",""
"Q n A","","","Unknown","",""
"Meri ashishe Yeshu Tujhse hai","","","Unknown","",""
"O Glory To God","","","Unknown","",""
"Tu Kaafi Hai","","","Unknown","",""
"Good and Gracious King","","","Jonny Robinson, James Ferguson, Michael Farren","",""
"Good and Gracious King","","","Jonny Robinson, James Ferguson, Michael Farren","",""
"Good and Gracious King","","","Jonny Robinson, James Ferguson, Michael Farren","",""
"Good and Gracious King","","","Jonny Robinson, James Ferguson, Michael Farren","",""
"Good and Gracious King","","","Jonny Robinson, James Ferguson, Michael Farren","",""
"Good and Gracious King","","","Jonny Robinson, James Ferguson, Michael Farren","",""
"All heaven declares (A)","","© Thank You Music Ltd.","Noel Richards and Tricia Richards","",""
"You are beautiful beyond description (A)","","© 1986 Sovereign Grace Praise (BMI). Sovereign Grace Music, a division of Sovereign Grace Churches. All rights reserved. Administrated worldwide at www.CapitolCMGPublishing.com, excluding the UK which is adm. by Integrity Music, part of the David C Cook family. www.SovereignGraceMusic.org","Mark Altrogge","",""
"Holy Forever","","","Chris Tomlin","",""
"Tuta Hua Man","","","Paul & Christy Mathews","",""
"Goodness Of God","","© 2018 Bethel Music Publishing (ASCAP) / Fellow Ships Music (SESAC) / So Essential Tunes (SESAC) (admin. at EssentialMusicPublishing.com) / Alletrop Music (BMI) / SHOUT! Music Publishing (APRA) (adm. in the US and Canada at CapitolCMGPublishing.com). All Rights Reserved. Used by Permission.","Ed Cash, Ben Fielding, Jason Ingram, Brian Johnson, and Jenn Johnson","",""
"Agnus Dei","","","Michael W. Smith","",""
"Agnus Dei (Hindi)","","","Michael W. Smith","",""
"There's A Way That Jesus Opened Up For All","","© Words by Stiftelsen Skjulte Skatters Forlag","Anita Brentnall, Joseph Philbrick Webster (1819-1875)","",""
"There's A Way That Jesus Opened Up For All","","© Words by Stiftelsen Skjulte Skatters Forlag","Anita Brentnall, Joseph Philbrick Webster (1819-1875)","",""
"There's A Way That Jesus Opened Up For All","","© Words by Stiftelsen Skjulte Skatters Forlag","Anita Brentnall, Joseph Philbrick Webster (1819-1875)","",""
"There's A Way That Jesus Opened Up For All","","© Words by Stiftelsen Skjulte Skatters Forlag","Anita Brentnall, Joseph Philbrick Webster (1819-1875)","",""
"There's A Way That Jesus Opened Up For All","","© Words by Stiftelsen Skjulte Skatters Forlag","Anita Brentnall, Joseph Philbrick Webster (1819-1875)","",""
"There's A Way That Jesus Opened Up For All","","© Words by Stiftelsen Skjulte Skatters Forlag","Anita Brentnall, Joseph Philbrick Webster (1819-1875)","",""
"Christ Be In My Waking","","","Stuart Townend","",""
"My heart is filled with thankfulness","","","Stuart Townend & Keith Getty Copyright © 2004 Thankyou Music","",""
"I Know Who Holds Tomorrow","","","Ira F. Stanphill © 1950, renewed 1978, Singspiration Music","",""
"2 - Dhanya Kehta Tujhe (Bless the Lord Hindi)","धन्य कहता तुझे ये मेरा मन","","Matt Redman (English)","",""
"Tujsa Iss Jahan Mein Aur Koi Hai Nahi","","","Jessy Robin / Matthew Varghese © O/B/O DistroKid","",""
"We are a moment (C)","","","Gary Edward Sadler / Lynn Deshazo © Integrity's Hosanna! Music","",""
"When the Stars Burn Down (Blessing and Honor)","","","Jennie Lee Riddle / Jonathan Mcelhenny Lee","",""
"Krus Ke Liye Dhanyawaad","","","Darlene Zschech","",""
"In The Presence Of A Holy God","","","Mark Altrogge","",""
"Tu Hi Yogya Hai","","","Jaspreet Singh","",""
"Blessing and honor and glory be Thine","","","Anonymous - Public Domain","",""
"All Glory Be to Christ","","","Dustin Michael Kensrue / Chadwick William Gardner","",""
"Mere Khudawand Ho Dhanyawaad","","","Charles Jacob (Malayalam)","",""
"Come thou fount of every blessing","","","Robert Robinson - Public Domain","",""
"He looked beyond my fault and saw my need (C)","","","Dottie Rambo & Zac Poonen  © 1968, Designer Music (admin. CapitolCMGPublishing.com)","",""
"God still loves the world","","","Peter Gonsalves","",""
"Yeshu Hai Mera Dhayna Nishchay (Blessed Assurance Hindi)","","","CityAlight","",""
"Anugrahakari Priya Prabhuji","","","Marcus Chacko","",""
"There's A Way That Jesus Opened Up For All","","© Words by Stiftelsen Skjulte Skatters Forlag","Anita Brentnall, Joseph Philbrick Webster (1819-1875)","",""
"He looked beyond my fault and saw my need (C)","","","Dottie Rambo & Zac Poonen  © 1968, Designer Music (admin. CapitolCMGPublishing.com)","",""
"Firse Woh Aag Barsaa De","","","Unknown","",""
"Mere Aane Jaane Me","","","Paul Thomas Mathews","",""
"Almighty, most Holy God (E)","","","Wayne Watson © The Brooklyn Tabernacle Choir","",""
"When trials come","","","Keith Getty / Kristyn Getty © Thankyou Music","",""
"Jal Ke Liye Haafti Jaise (As The Deer Panteth Hindi)","","","Marty Nystrom (English)","",""
"Teri Iccha Puri hojaye","","","Carl Boberg","",""
"Here we are (F)","","","Claire Cloninger / Don Moen © Integrity's Hosanna! Music","",""
"Give Thanks (E)","","","Henry Smith © Capitol CMG Publishing, Integrity Music","",""
"Maine Pucha Prabhu se","","","Carl Boberg","",""
"Wide, wide as the ocean (C)","","","C. Austin Miles - Public Domain","",""
"Behold The Lord","","","Gerald Coates | Noel Richards","",""
"Lift Up Your Heads","","","Don Marsh","",""
"For This Purpose Christ Was Revealed","","","Vernon Sanders","",""
"Lift Up Your Heads (Medley)","","","various","",""
"This Is The Day","","","Bob Fitts","",""
"Only A Holy God","","Farren Love And War Publishing, Integrity's Praise! Music, Integrity's Alleluia! Music, Pt. Nadaku Musik, Cityalight Music","Michael Farren / Rich Thompson / Dustin Smith / Jonny Robinson","",""
"Prathana Mai Tujhse Karu (Em)","","","Unknown","",""
"All My Ways Are Known to You  (A )","","","CityAlight","",""
"Badenge sath milake hath (G)","बढ़ेंगे साथ मिलाके हाथ","","Wilson George","",""
"I have found a friend in Jesus (D)","","","Carl Boberg","",""
"Jesus Christ (Once again)      D","Once Again","1995 Thankyou Music","Jack Hayford","",""
"The Lord Is by My Side (E)","","","CityAlight","",""
"What a fellowship what a joy divine (F)","","Public Domain","Elisha A Hoffman","",""
"उसके फाटकों में प्रवेश करूँगा ( E )","I will enter His Gates HINDI","","Unknown","",""
"खुशी खुशी मनाओ  ( D )","","","Unknown","",""
"तेरा एक वचन है काफ़ी ( B )","Tera Ek Vachan Hai Kafi","","Shirin George","",""
"Tu Kaafi Hai <NC>","","","Unknown","",""
"Yeshu Hai Mera Dhayna Nishchay (Blessed Assurance Hindi)","","","CityAlight","",""
"Yet not I but through Christ in Me","","© 2018 CityAlight Music, Farren Love and War Publishing, Integrity's Alleluia! Music","Michael Farren, Rich Thompson, Jonny Robinson","",""
"You Have Won The Victor's Crown","","","Robert Gay","",""
"2 - Prabhu Parmeshwar Tu Kitna (E) (Hindi)","","","Carl Boberg","",""
"Overcame","","","Joe Egan","",""
"Kuch Bhi Nahi <Hindi>","","","Sunny Vishwas","",""
"Aasha Meri (Living Hope) <Hindi>","","","Phil Wickham","",""
"Krus Ke Liye Dhanyawaad <Hindi>","","","Darlene Zschech","",""
"You're Worthy Of It All","","","David Brymer / Ryan Hall","",""
"It is good","","","Unknown","",""
"What A Fellowship Is Forming","","Words by Stiftelson Skulte Skatters Forlag","Camilla Johansen","",""
"Mere Yeshu (Hindi)","","","Hindi","",""
"Yet not I but through Christ in Me","","© 2018 CityAlight Music, Farren Love and War Publishing, Integrity's Alleluia! Music","Michael Farren, Rich Thompson, Jonny Robinson","",""
"Mai Dhanyawad Karta Rahunga","","","Unknown","",""
"तेरे आत्मा से(Tere Aatma Se)","Tere Aatma Se","","Unknown","",""
"Guide me, O my great Redeemer","Guide me, O my great Redeemer","","Unknown","",""
"Give Thanks (E)","","","Henry Smith © Capitol CMG Publishing, Integrity Music","",""
"Give Thanks (E)","","","Henry Smith © Capitol CMG Publishing, Integrity Music","",""
"Give Thanks (E)","","","Henry Smith © Capitol CMG Publishing, Integrity Music","",""
"Wonderful Merciful Savior","","","Dawn Rodgers © Word Music, Llc","",""
"All Things","","","Nathan Stiff | David Zimmer","",""
"Great And Mighty Is The Lord Our God","","","Marlene Bigley","",""
"I've Taken My Harp Down (He's Setting Me Free)","","","Anonymous - Public Domain","",""
"Yet not I but through Christ in Me","","© 2018 CityAlight Music, Farren Love and War Publishing, Integrity's Alleluia! Music","Michael Farren, Rich Thompson, Jonny Robinson","",""
